;;;;;;Entwicklungskosten;;;;;;
;;;;;;Hardwareentwicklung;;;;230 h;;
;;;;;;Messungen;;;;85 h;;
;;;;;;Optimierungsarbeiten;;;;67 h;;
;;;;;;Dokumentation;;;;86 h;;
;;;;;;Gesamtarbeitszeit;;;;468 h;;
;;;;;;Stundenlohn (Techniker);;;;70,00 €;;
;;;;;;Gesamtentwicklungskosten;;;;32.760,00 €;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;Gesamtbetriebskosten;;;;;;
;;;;;;Bürofläche für 2 Personen;;;;20 m²;;
;;;;;;monatliche Miete;;;;5 € / m²;;
;;;;;;Dauer des Mietverhältnisses;;;;9 Monate;;
;;;;;;Gesamtmietkosten;;;;900,00 €;;
;;;;;;;;;;;;
;;;;;;Wasser;;;;25 € / Monat;;
;;;;;;Heizung;;;;85 € / Monat;;
;;;;;;Strom;;;;50 € / Monat;;
;;;;;;Internet & Telefon;;;;40 € / Monat;;
;;;;;;Betriebskosten;;;;1.800,00 €;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Selbstkosten;;Verkaufserlös;;;;;;;;;;
x;y;x;y;;;;;;;;;
0;€ 35 460,00;0;€ 0,00;;;;;;;;;
10;€ 38 167,23;10;€ 3 248,68;;;;;;;;;
20;€ 40 874,46;20;€ 6 497,35;;;;;;;;;
30;€ 43 581,69;30;€ 9 746,03;;;;;;;;;
40;€ 46 288,92;40;€ 12 994,70;;;;;;;;;
50;€ 48 996,15;50;€ 16 243,38;;;;;;;;;
60;€ 51 703,38;60;€ 19 492,06;;;;;;;;;
70;€ 54 410,61;70;€ 22 740,73;;;;;;;;;
80;€ 57 117,84;80;€ 25 989,41;;;;;;;;;
90;€ 59 825,07;90;€ 29 238,08;;;;;;;;;
100;€ 62 532,30;100;€ 32 486,76;;;;;;;;;
110;€ 65 239,53;110;€ 35 735,44;;;;;;;;;
120;€ 67 946,76;120;€ 38 984,11;;;;;;;;;
130;€ 70 653,99;130;€ 42 232,79;;;;;;;;;
140;€ 73 361,22;140;€ 45 481,46;;;;;;;;;
150;€ 76 068,45;150;€ 48 730,14;;;;;;;;;
160;€ 78 775,68;160;€ 51 978,82;;;;;;;;;
170;€ 81 482,91;170;€ 55 227,49;;;;;;;;;
180;€ 84 190,14;180;€ 58 476,17;;;;;;;;;
190;€ 86 897,37;190;€ 61 724,84;;;;;;;;;
200;€ 89 604,60;200;€ 64 973,52;;;;;;;;;
210;€ 92 311,83;210;€ 68 222,20;;;;;;;;;
220;€ 95 019,06;220;€ 71 470,87;;;;;;;;;
230;€ 97 726,29;230;€ 74 719,55;;;;;;;;;
240;€ 100 433,52;240;€ 77 968,22;;;;;;;;;
250;€ 103 140,75;250;€ 81 216,90;;;;;;;;;
260;€ 105 847,98;260;€ 84 465,58;;;;;;;;;
270;€ 108 555,21;270;€ 87 714,25;;;;;;;;;
280;€ 111 262,44;280;€ 90 962,93;;;;;;;;;
290;€ 113 969,67;290;€ 94 211,60;;;;;;;;;
